Name, Latitude, Longitude, Image
Former Vinegar Factory, Amiens, 49.90052,2.300921, http://lh4.ggpht.com/OsJvRQc2H-qQF2o3TF0l8OhnJoKp6u4PwbQp8EjfuUnLBp7ZsSST7wz7V1UrwsJ3wh0y6JmLM0d9RxyfQjicJg
La Maison Au Chat, 49.902108,2.296992, http://lh3.googleusercontent.com/i7UAoZ99pdC0f_3NQNrRvd6xb5jkyEh7tTwrWeLZlaoW7yX8T87DHzcmAJ-UOeyPLSnhpvChl8u87-_K7cvD
Église St-Leu, 49.897594,2.300886, http://lh4.ggpht.com/cdM8WpJB2BVZYBwOjZIKK4tJnsTMF650yvm6t0EYrQcVoTo9UtQYZW-EQ-6VUcK-n-3jO4bNgMseM_fe7Qf0
L'église Saint Germain L'Écossais, 49.896422,2.296247, http://lh3.ggpht.com/zjU3vNvVrbraXxOTKU9DikfX4O0FR_GX4Oj9YDHES4p9JDOIcl6PjykFMIhzsc1U725Frn_yJSPljuMdAd4
Centre Culturel Léo Lagrange, 49.897673,2.296873, http://lh6.ggpht.com/wmDpf4Extd-Cuk_2Mz6dw5MtlVXavPOyjYHrae9kvmAfNNgs7kwa-0V4IhBuoG54uEShGv0KbWoM8wytNV8Now
Théâtre De Marionnettes Chès Cabotans, 49.896829,2.301709, http://lh3.googleusercontent.com/tLWoJQ88zTaKddAodV-Iy_gX53s5VoLcTUk9PLqW9uAo3BRHiZ1O1DCW3KPQVIykkFEdeH6fScI9Am7qxw
Colonne Du Tour Du Monde En 80 Jours, 49.896363,2.301383, http://lh5.ggpht.com/7oWpAePcnFQvss_FnP309L7b8yiU1WX7mhOJmkkgJ0E2FS31jHIsFAPG_5P590sCWWO0UhK1xjWosrLsCY7E
Abeille Géante Du Jardin Des Plantes , 49.901002,2.297195, http://lh3.googleusercontent.com/beLZaoKiaZeRU5msE8Xph0E2wL4M6C-dmCRmhLsOVnhW34I4_A57Dicpco-umzfa98lPioQrLwQaal7EJeSN
Sculpture Sur Bois, Jardin Des Plantes - Amiens, 49.900284,2.296429, http://lh4.ggpht.com/1OrHtCQ4zbcJx3SrL9T1lH0-5Km_3PbtgWjPSPzh25XSPOTQ1LQ8JRLfuKwfic7PQMTpBS38Ag5WHJXFf0g
Amiens - Fontaine, 49.901073,2.30162, http://lh4.ggpht.com/C7mvyJNmHQiADWr3F04nj3GVH_noNddfn5VviRVfEdjEJ-T615vpujeC1sjHW9Fao5nDTeYX7teHEpuhWSA
